Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0
0.166,0
0.188,0
0.214,0
0.243,0
0.276,0
0.314,0
0.357,0
0.405,0
0.46,0
0.523,0
0.594,0
0.675,0
0.767,0
0.872,0
0.991,0
1.13,0
1.28,0.3
1.45,0.89
1.65,1.66
1.88,2.5
2.13,3.28
2.42,3.94
2.75,4.46
3.12,4.88
3.55,5.27
4.03,5.66
4.58,6.07
5.21,6.46
5.92,6.78
6.72,6.96
7.64,6.95
8.68,6.72
9.86,6.26
11.2,5.59
12.7,4.75
14.5,3.8
16.4,2.84
18.7,1.94
21.2,1.19
24.1,0.63
27.4,0.19
31.1,0.02
35.3,0
40.1,0
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
